EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID
157,Patrick,Sully,PSULLY,011.44.1345.929268,05/20/2018,SA_REP,9500,146,80
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,10/17/2018,SA_REP,9000,146,80
159,Lindsey,Smith,LSMITH,011.44.1345.729268,05/26/2019,SA_REP,8000,146,80
160,Louise,Doran,LDORAN,011.44.1345.629268,03/01/2020,SA_REP,7500,146,80
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,01/18/2021,SA_REP,7000,146,80
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,01/27/2020,SA_REP,10500,147,80
163,Danielle,Greene,DGREENE,011.44.1346.229268,06/03/2021,SA_REP,9500,147,80
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,04/10/2022,SA_REP,7200,147,80
165,David,Lee,DLEE,011.44.1346.529268,05/10/2022,SA_REP,6800,147,80
166,Sundar,Ande,SANDE,011.44.1346.629268,06/09/2022,SA_REP,6400,147,80
167,Amit,Banda,ABANDA,011.44.1346.729268,07/07/2022,SA_REP,6200,147,80
168,Lisa,Ozer,LOZER,011.44.1343.929268,05/27/2019,SA_REP,11500,148,80
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,06/07/2020,SA_REP,10000,148,80
170,Tayler,Fox,TFOX,011.44.1343.729268,04/10/2020,SA_REP,9600,148,80
171,William,Smith,WSMITH,011.44.1343.629268,05/10/2021,SA_REP,7400,148,80
172,Elizabeth,Bates,EBATES,011.44.1343.529268,06/08/2021,SA_REP,7300,148,80
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,07/07/2022,SA_REP,6100,148,80
174,Ellen,Abel,EABEL,011.44.1644.429267,07/27/2018,SA_REP,11000,149,80
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,06/04/2019,SA_REP,8800,149,80
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,06/08/2020,SA_REP,8600,149,80
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,07/08/2020,SA_REP,8400,149,80
178,Kimberely,Grant,KGRANT,011.44.1644.429263,08/08/2021,SA_REP,7000,149,
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,03/21/2022,SA_REP,6200,149,80
180,Winston,Taylor,WTAYLOR,650.507.9876,04/10/2020,SH_CLERK,3200,120,50
181,Jean,Fleaur,JFLEAUR,650.507.9877,05/10/2020,SH_CLERK,3100,120,50
182,Martha,Sullivan,MSULLIVA,650.507.9878,09/05/2021,SH_CLERK,2500,120,50
183,Girard,Geoni,GGEONI,650.507.9879,04/20/2022,SH_CLERK,2800,120,50
184,Nandita,Sarchand,NSARCHAN,650.509.1876,04/13/2018,SH_CLERK,4200,121,50
185,Alexis,Bull,ABULL,650.509.2876,05/08/2019,SH_CLERK,4100,121,50
186,Julia,Dellinger,JDELLING,650.509.3876,09/08/2020,SH_CLERK,3400,121,50
187,Anthony,Cabrio,ACABRIO,650.509.4876,04/24/2021,SH_CLERK,3000,121,50
188,Kelly,Chung,KCHUNG,650.505.1876,08/30/2019,SH_CLERK,3800,122,50
189,Jennifer,Dilly,JDILLY,650.505.2876,10/29/2019,SH_CLERK,3600,122,50
190,Timothy,Gates,TGATES,650.505.3876,09/25/2020,SH_CLERK,2900,122,50
191,Randall,Perkins,RPERKINS,650.505.4876,03/05/2022,SH_CLERK,2500,122,50
192,Sarah,Bell,SBELL,650.501.1876,04/21/2018,SH_CLERK,4000,123,50
193,Britney,Everett,BEVERETT,650.501.2876,05/19/2019,SH_CLERK,3900,123,50
194,Samuel,McCain,SMCCAIN,650.501.3876,09/15/2020,SH_CLERK,3200,123,50
195,Vance,Jones,VJONES,650.501.4876,06/01/2021,SH_CLERK,2800,123,50
196,Alana,Walsh,AWALSH,650.507.9811,07/09/2020,SH_CLERK,3100,124,50
197,Kevin,Feeney,KFEENEY,650.507.9822,08/07/2020,SH_CLERK,3000,124,50
198,Donald,OConnell,DOCONNEL,650.507.9833,09/05/2021,SH_CLERK,2600,124,50
199,Douglas,Grant,DGRANT,650.507.9844,03/30/2022,SH_CLERK,2600,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,12/02/2009,AD_ASST,4400,101,10
201,Michael,Hartstein,MHARTSTE,515.123.5555,05/04/2018,MK_MAN,13000,100,20
202,Pat,Fay,PFAY,603.123.6666,11/02/2019,MK_REP,6000,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,08/22/2016,HR_REP,6500,101,40
204,Hermann,Baer,HBAER,515.123.8888,08/22/2016,PR_REP,10000,101,70
205,Shelley,Higgins,SHIGGINS,515.123.8080,08/22/2016,AC_MGR,12000,101,110
206,William,Gietz,WGIETZ,515.123.8181,08/22/2016,AC_ACCOUNT,8300,205,110
